index,geneSymbols,ensembl
KEGG_LINOLEIC_ACID_METABOLISM,"['AKR1B10', 'ALOX15', 'CYP1A2', 'CYP2C18', 'CYP2C19', 'CYP2C8', 'CYP2C9', 'CYP2E1', 'CYP2J2', 'CYP3A4', 'CYP3A43', 'CYP3A5', 'CYP3A7', 'JMJD7-PLA2G4B', 'PLA2G10', 'PLA2G12A', 'PLA2G12B', 'PLA2G1B', 'PLA2G2A', 'PLA2G2C', 'PLA2G2D', 'PLA2G2E', 'PLA2G2F', 'PLA2G3', 'PLA2G4A', 'PLA2G4B', 'PLA2G4E', 'PLA2G5', 'PLA2G6']","['ENSG00000198074', 'ENSG00000161905', 'ENSG00000140505', 'ENSG00000108242', 'ENSG00000165841', 'ENSG00000138115', 'ENSG00000138109', 'ENSG00000130649', 'ENSG00000134716', 'ENSG00000160868', 'ENSG00000021461', 'ENSG00000106258', 'ENSG00000160870', 'ENSG00000168970', 'ENSG00000069764', 'ENSG00000123739', 'ENSG00000138308', 'ENSG00000170890', 'ENSG00000188257', 'ENSG00000187980', 'ENSG00000117215', 'ENSG00000188784', 'ENSG00000158786', 'ENSG00000100078', 'ENSG00000116711', 'ENSG00000243708', 'ENSG00000188089', 'ENSG00000127472', 'ENSG00000184381']"
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM,"['ACOX1', 'ACOX3', 'FADS2', 'JMJD7-PLA2G4B', 'PLA2G10', 'PLA2G12A', 'PLA2G12B', 'PLA2G1B', 'PLA2G2A', 'PLA2G2C', 'PLA2G2D', 'PLA2G2E', 'PLA2G2F', 'PLA2G3', 'PLA2G4A', 'PLA2G4B', 'PLA2G4E', 'PLA2G5', 'PLA2G6']","['ENSG00000161533', 'ENSG00000087008', 'ENSG00000134824', 'ENSG00000168970', 'ENSG00000069764', 'ENSG00000123739', 'ENSG00000138308', 'ENSG00000170890', 'ENSG00000188257', 'ENSG00000187980', 'ENSG00000117215', 'ENSG00000188784', 'ENSG00000158786', 'ENSG00000100078', 'ENSG00000116711', 'ENSG00000243708', 'ENSG00000188089', 'ENSG00000127472', 'ENSG00000184381']"
KEGG_SPHINGOLIPID_METABOLISM,"['ACER1', 'ACER2', 'ACER3', 'ARSA', 'ASAH1', 'ASAH2', 'B4GALT6', 'CERK', 'DEGS1', 'DEGS2', 'ENPP7', 'GAL3ST1', 'GALC', 'GBA1', 'GLA', 'GLB1', 'KDSR', 'NEU1', 'NEU2', 'NEU3', 'NEU4', 'PLPP1', 'PLPP2', 'PLPP3', 'SGMS1', 'SGMS2', 'SGPL1', 'SGPP1', 'SGPP2', 'SMPD1', 'SMPD2', 'SMPD3', 'SMPD4', 'SPHK1', 'SPHK2', 'SPTLC1', 'SPTLC2', 'UGCG', 'UGT8']","['ENSG00000167769', 'ENSG00000177076', 'ENSG00000078124', 'ENSG00000100299', 'ENSG00000104763', 'ENSG00000188611', 'ENSG00000118276', 'ENSG00000100422', 'ENSG00000143753', 'ENSG00000168350', 'ENSG00000182156', 'ENSG00000128242', 'ENSG00000054983', 'ENSG00000177628', 'ENSG00000102393', 'ENSG00000170266', 'ENSG00000119537', 'ENSG00000204386', 'ENSG00000115488', 'ENSG00000162139', 'ENSG00000204099', 'ENSG00000067113', 'ENSG00000141934', 'ENSG00000162407', 'ENSG00000198964', 'ENSG00000164023', 'ENSG00000166224', 'ENSG00000126821', 'ENSG00000163082', 'ENSG00000166311', 'ENSG00000135587', 'ENSG00000103056', 'ENSG00000136699', 'ENSG00000176170', 'ENSG00000063176', 'ENSG00000090054', 'ENSG00000100596', 'ENSG00000148154', 'ENSG00000174607']"
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES,"['ABO', 'B3GALT1', 'B3GALT2', 'B3GALT5', 'B3GNT2', 'B3GNT3', 'B3GNT4', 'B3GNT5', 'B4GALT1', 'B4GALT2', 'B4GALT3', 'B4GALT4', 'B4GAT1', 'FUT1', 'FUT2', 'FUT3', 'FUT4', 'FUT5', 'FUT6', 'FUT7', 'FUT9', 'GCNT2', 'ST3GAL3', 'ST3GAL4', 'ST3GAL6', 'ST8SIA1']","['ENSG00000175164', 'ENSG00000172318', 'ENSG00000162630', 'ENSG00000183778', 'ENSG00000170340', 'ENSG00000179913', 'ENSG00000176383', 'ENSG00000176597', 'ENSG00000086062', 'ENSG00000117411', 'ENSG00000158850', 'ENSG00000121578', 'ENSG00000174684', 'ENSG00000174951', 'ENSG00000176920', 'ENSG00000171124', 'ENSG00000196371', 'ENSG00000130383', 'ENSG00000156413', 'ENSG00000180549', 'ENSG00000172461', 'ENSG00000111846', 'ENSG00000126091', 'ENSG00000110080', 'ENSG00000064225', 'ENSG00000111728']"
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES,"['A4GALT', 'B3GALNT1', 'B3GALT5', 'FUT1', 'FUT2', 'FUT9', 'GBGT1', 'GLA', 'HEXA', 'HEXB', 'NAGA', 'ST3GAL1', 'ST3GAL2', 'ST8SIA1']","['ENSG00000128274', 'ENSG00000169255', 'ENSG00000183778', 'ENSG00000174951', 'ENSG00000176920', 'ENSG00000172461', 'ENSG00000148288', 'ENSG00000102393', 'ENSG00000213614', 'ENSG00000049860', 'ENSG00000198951', 'ENSG00000008513', 'ENSG00000157350', 'ENSG00000111728']"
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES,"['B3GALT4', 'B4GALNT1', 'GLB1', 'HEXA', 'HEXB', 'SLC33A1', 'ST3GAL1', 'ST3GAL2', 'ST3GAL5', 'ST6GALNAC3', 'ST6GALNAC4', 'ST6GALNAC5', 'ST6GALNAC6', 'ST8SIA1', 'ST8SIA5']","['ENSG00000235863', 'ENSG00000135454', 'ENSG00000170266', 'ENSG00000213614', 'ENSG00000049860', 'ENSG00000169359', 'ENSG00000008513', 'ENSG00000157350', 'ENSG00000115525', 'ENSG00000184005', 'ENSG00000136840', 'ENSG00000117069', 'ENSG00000160408', 'ENSG00000111728', 'ENSG00000101638']"
KEGG_RIBOFLAVIN_METABOLISM,"['ACP1', 'ACP2', 'ACP3', 'ACP4', 'ACP5', 'ACP6', 'ENPP1', 'ENPP3', 'FLAD1', 'MTMR1', 'MTMR2', 'MTMR6', 'MTMR7', 'PHPT1', 'RFK', 'TYR']","['ENSG00000143727', 'ENSG00000134575', 'ENSG00000014257', 'ENSG00000142513', 'ENSG00000102575', 'ENSG00000162836', 'ENSG00000197594', 'ENSG00000154269', 'ENSG00000160688', 'ENSG00000063601', 'ENSG00000087053', 'ENSG00000139505', 'ENSG00000003987', 'ENSG00000054148', 'ENSG00000135002', 'ENSG00000077498']"
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM,"['AOX1', 'BST1', 'CD38', 'ENPP1', 'ENPP3', 'NADK', 'NADSYN1', 'NAMPT', 'NMNAT1', 'NMNAT2', 'NMNAT3', 'NMRK1', 'NNMT', 'NNT', 'NT5C', 'NT5C1A', 'NT5C1B', 'NT5C2', 'NT5C3A', 'NT5E', 'NT5M', 'NUDT12', 'PNP', 'QPRT']","['ENSG00000138356', 'ENSG00000109743', 'ENSG00000004468', 'ENSG00000197594', 'ENSG00000154269', 'ENSG00000008130', 'ENSG00000172890', 'ENSG00000105835', 'ENSG00000173614', 'ENSG00000157064', 'ENSG00000163864', 'ENSG00000106733', 'ENSG00000166741', 'ENSG00000112992', 'ENSG00000125458', 'ENSG00000116981', 'ENSG00000185013', 'ENSG00000076685', 'ENSG00000122643', 'ENSG00000135318', 'ENSG00000205309', 'ENSG00000112874', 'ENSG00000198805', 'ENSG00000103485']"
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS,"['BCAT1', 'BCAT2', 'COASY', 'DPYD', 'DPYS', 'ENPP1', 'ENPP3', 'PANK1', 'PANK2', 'PANK3', 'PANK4', 'PPCDC', 'PPCS', 'UPB1', 'VNN1', 'VNN2']","['ENSG00000060982', 'ENSG00000105552', 'ENSG00000068120', 'ENSG00000188641', 'ENSG00000147647', 'ENSG00000197594', 'ENSG00000154269', 'ENSG00000152782', 'ENSG00000125779', 'ENSG00000120137', 'ENSG00000273494', 'ENSG00000138621', 'ENSG00000127125', 'ENSG00000100024', 'ENSG00000112299', 'ENSG00000112303']"
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,"['AARS1', 'AARS2', 'CARS1', 'CARS2', 'DARS1', 'DARS2', 'EARS2', 'EPRS1', 'FARS2', 'FARSA', 'FARSB', 'GARS1', 'HARS1', 'HARS2', 'IARS1', 'IARS2', 'KARS1', 'LARS1', 'LARS2', 'MARS1', 'MARS2', 'MTFMT', 'NARS1', 'NARS2', 'PARS2', 'PSTK', 'QARS1', 'RARS1', 'RARS2', 'SARS1', 'SARS2', 'SEPSECS', 'TARS1', 'TARS2', 'TARS3', 'VARS1', 'VARS2', 'WARS1', 'WARS2', 'YARS1', 'YARS2']","['ENSG00000090861', 'ENSG00000124608', 'ENSG00000110619', 'ENSG00000134905', 'ENSG00000115866', 'ENSG00000117593', 'ENSG00000103356', 'ENSG00000136628', 'ENSG00000145982', 'ENSG00000179115', 'ENSG00000116120', 'ENSG00000106105', 'ENSG00000170445', 'ENSG00000112855', 'ENSG00000196305', 'ENSG00000067704', 'ENSG00000065427', 'ENSG00000133706', 'ENSG00000011376', 'ENSG00000166986', 'ENSG00000247626', 'ENSG00000103707', 'ENSG00000134440', 'ENSG00000137513', 'ENSG00000162396', 'ENSG00000179988', 'ENSG00000172053', 'ENSG00000113643', 'ENSG00000146282', 'ENSG00000031698', 'ENSG00000104835', 'ENSG00000109618', 'ENSG00000113407', 'ENSG00000143374', 'ENSG00000185418', 'ENSG00000204394', 'ENSG00000137411', 'ENSG00000140105', 'ENSG00000116874', 'ENSG00000134684', 'ENSG00000139131']"
